,"(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(3, 4)","(3, 5)","(3, 6)","(4, 5)","(4, 6)","(5, 6)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(7, 16)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 15)","(8, 16)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(9, 14)","(9, 15)","(9, 16)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(10, 15)","(10, 16)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(11, 16)","(12, 13)","(12, 14)","(12, 15)","(12, 16)","(13, 14)","(13, 15)","(13, 16)","(14, 15)","(14, 16)","(15, 16)"
"(2, 6)",0.832783018,0.819206256,0.758572597,0.656736043,0.153954196,0.289573113,-0.598099314,-0.422606876,-0.463223199,-0.499255725,-0.59879887,-0.518540743,-0.607919913,-0.600607381,-0.590148512,-0.556613994,0.228476188,-0.000663761,0.078432443,0.06390095,0.904864142,0.995957237,0.103649884,0.070286286,0.916203139,1,0.041355997,0.92042574,0.972136001,0.890078116,0.832759417,-0.166273119,-0.503057172,-0.433258074,-0.354368118,0.281197393,-0.179789912,0.334524646,0.324742983,0.263830957,-0.046974842,0.448554156,0.465875806,0.5929841,0.418439044,0.605816914,0.59905893,0.58802321,0.538463777,0.433212196,0.589941973,0.320242663,0.605963254,0.600410657,0.590163362,0.517992106,0.604235193,0.212640661,0.621512048,0.615453456,0.606367971,0.518787447,-0.526238619,0.47613806,0.311190554,-0.045650261,-0.614329961,0.540139247,0.511872079,0.450489252,0.199982994,0.004748206,-0.363711917,-0.65103805,-0.524514379,-0.641272343,-0.618355004
"(3, 4)",-0.263236389,-0.286946463,-0.340219126,-0.561417142,-0.621499612,-0.523448274,-0.08795386,0.076045909,0.095428034,0.107394341,0.091646408,0.099436116,0.0805642,0.080133135,0.079216757,0.087037933,-0.093188914,0.481001915,0.503394919,0.922793253,0.303733395,0.084399377,0.480397462,0.945453961,0.270708714,0.041355997,1,0.179195382,-0.071993302,-0.243328354,-0.48866846,-0.579788436,-0.175314847,-0.228469729,-0.290571207,-0.305896436,-0.313141746,-0.280339895,-0.272837603,-0.276861521,-0.327285842,-0.124908084,-0.123467666,-0.084288322,-0.084529076,-0.06949765,-0.06946599,-0.067867083,-0.075804694,-0.108734286,-0.070095977,-0.053702479,-0.053993043,-0.054370122,-0.051365021,-0.050607579,-0.056138657,-0.022322162,-0.037644377,-0.038341548,-0.032880602,-0.016646059,0.046677896,0.108448545,0.064913832,0.089066283,0.088650829,-0.025395882,-0.025229665,-0.016166999,0.012764851,-0.011080609,0.039085581,0.052415916,0.063783472,0.053495589,0.045548867
"(3, 5)",0.717921131,0.708002668,0.663574761,0.537016764,-0.047177106,0.189727227,-0.718479261,-0.473183074,-0.536564511,-0.586012814,-0.663822295,-0.529039982,-0.676626453,-0.673782475,-0.66921904,-0.631913028,0.036276038,-0.031229899,0.016996709,0.132753596,0.965246238,0.913954456,0.034295953,0.150243841,0.979677811,0.92042574,0.179195382,1,0.909187675,0.910638514,0.719018385,-0.488648791,-0.629600623,-0.540506814,-0.443810812,0.23056186,-0.369163552,0.297842127,0.299313978,0.241431253,-0.126108132,0.567699167,0.58256426,0.654708955,0.39113314,0.672771002,0.672530981,0.670272416,0.616865615,0.534870757,0.635046148,0.251825134,0.658231681,0.660629172,0.659794917,0.573961793,0.631692242,0.09540905,0.658864168,0.662615873,0.663754275,0.546729243,-0.660673424,0.567033064,0.420942957,0.06016705,-0.637876575,0.67351873,0.649221326,0.598435384,0.370139251,0.108172567,-0.292710138,-0.693008974,-0.495333996,-0.70062301,-0.699014897
"(3, 6)",0.89613132,0.892197762,0.86153464,0.777039369,0.301884147,0.441393381,-0.572335466,-0.418326433,-0.472012409,-0.516358453,-0.620074721,-0.515242329,-0.627201394,-0.620468623,-0.609740779,-0.570912838,0.226971991,-0.184014369,-0.153539938,-0.118701495,0.833419163,0.951734465,-0.132325078,-0.104310658,0.857899146,0.972136001,-0.071993302,0.909187675,1,0.926609812,0.905385594,-0.080994387,-0.471187351,-0.385651748,-0.288204623,0.360046709,-0.140982642,0.408279033,0.397797511,0.338068619,0.027652424,0.493319022,0.511162299,0.625037017,0.417140736,0.634553972,0.62858354,0.618033209,0.56505933,0.474153485,0.617213364,0.304466809,0.629744248,0.625261244,0.615273985,0.535407361,0.626449315,0.179140632,0.63985073,0.635169949,0.625864325,0.522711993,-0.581581757,0.459414877,0.308143864,-0.057435392,-0.652074637,0.586953733,0.557897511,0.495905378,0.244987577,0.020671161,-0.367327988,-0.680250126,-0.540871124,-0.67278843,-0.651585808
"(4, 5)",0.818367529,0.818547483,0.797123137,0.765250622,0.21452376,0.406913138,-0.671408822,-0.498463486,-0.569088621,-0.622864545,-0.692957837,-0.563346963,-0.700926021,-0.697941099,-0.693057844,-0.65956495,0.074901891,-0.232815271,-0.194672172,-0.256687303,0.824066461,0.865619629,-0.167956932,-0.24896053,0.852164874,0.890078116,-0.243328354,0.910638514,0.926609812,1,0.914125146,-0.238245757,-0.547084429,-0.436922834,-0.315508208,0.355795834,-0.232435815,0.411392291,0.40969226,0.354316699,0.013138183,0.612153745,0.626206251,0.680876752,0.421114116,0.692471147,0.6922213,0.689323608,0.640004374,0.572999218,0.655530571,0.270823349,0.671624942,0.674147093,0.672063117,0.587123124,0.646361115,0.103431412,0.66538122,0.669372928,0.668202359,0.546009727,-0.670965517,0.513482625,0.387738075,0.02191029,-0.666113388,0.674689141,0.650664618,0.59678978,0.359566445,0.111302171,-0.304993333,-0.70524767,-0.515131688,-0.71320791,-0.708285939
"(4, 6)",0.895941666,0.902594444,0.89845278,0.918704616,0.528644789,0.608944731,-0.463200779,-0.398302635,-0.453515076,-0.497399743,-0.581416116,-0.493030912,-0.58293187,-0.576858943,-0.567085315,-0.536452066,0.238204855,-0.36572818,-0.34860856,-0.496662307,0.599726852,0.796590286,-0.320262239,-0.493720249,0.635198538,0.832759417,-0.48866846,0.719018385,0.905385594,0.914125146,1,0.175958218,-0.337531211,-0.240081702,-0.128404403,0.44516952,0.009977792,0.476479265,0.464117033,0.413584462,0.163519366,0.48469951,0.499693163,0.582622115,0.400865876,0.584650153,0.579414113,0.569505156,0.526546607,0.461046661,0.569736149,0.289180268,0.573842069,0.570081164,0.560066169,0.489881725,0.571873525,0.166192247,0.575722944,0.5719252,0.561460991,0.464319379,-0.528605112,0.35569828,0.241907429,-0.088155763,-0.608130091,0.52424293,0.49875576,0.440672978,0.208877759,0.022799809,-0.337949845,-0.617349916,-0.500267628,-0.611281956,-0.589352894
"(5, 6)",0.159180318,0.174677957,0.216760712,0.342655608,0.745440805,0.470641952,0.520588274,0.256164085,0.295394084,0.32083334,0.289733865,0.186766845,0.305447378,0.312747671,0.324305831,0.316373777,0.388788994,-0.310787462,-0.362341211,-0.566467655,-0.564223568,-0.193530918,-0.359292196,-0.578182149,-0.547473411,-0.166273119,-0.579788436,-0.488648791,-0.080994387,-0.238245757,0.175958218,1,0.519757275,0.485712311,0.458432492,0.202487276,0.588267585,0.142509757,0.117023023,0.130415411,0.359758147,-0.325256345,-0.323435698,-0.257502108,-0.062169786,-0.280794003,-0.292730496,-0.309433325,-0.292593518,-0.286800305,-0.226822285,0.035222363,-0.256063945,-0.271197582,-0.29013009,-0.252016881,-0.199441759,0.147048618,-0.236401678,-0.255191063,-0.277417331,-0.213432154,0.36285941,-0.39467277,-0.361937268,-0.264381519,0.16055827,-0.382343635,-0.38506785,-0.393407451,-0.372738345,-0.21563988,-0.069049833,0.233485771,0.052344472,0.267345652,0.307926661
"(7, 8)",-0.263975295,-0.259219225,-0.226307988,-0.153228079,0.285337473,0.109480036,0.849629103,0.211275516,0.305287329,0.418316594,0.58781395,0.550771924,0.599226251,0.587727373,0.569784868,0.544646753,0.041151657,-0.007550533,-0.099091826,-0.166654614,-0.630839296,-0.501729643,-0.12775158,-0.181986707,-0.638133888,-0.503057172,-0.175314847,-0.629600623,-0.471187351,-0.547084429,-0.337531211,0.519757275,1,0.970880085,0.887115598,0.108373972,0.558674641,0.037326081,0.04388992,0.135868703,0.533505239,-0.493781062,-0.61360248,-0.69798277,-0.646693912,-0.707682565,-0.693840638,-0.680426247,-0.697403259,-0.668373182,-0.702098223,-0.558772677,-0.714235736,-0.700794167,-0.688689134,-0.70238852,-0.677326173,-0.403375206,-0.692666088,-0.677629314,-0.661984786,-0.661973833,0.446202368,-0.503169669,-0.287718557,0.115293091,0.608165344,-0.472837109,-0.439217968,-0.360541185,-0.091661437,0.078693025,0.466543419,0.651954235,0.613344401,0.627600957,0.575023461
"(7, 9)",-0.148739489,-0.142853457,-0.106652539,-0.033999312,0.361965319,0.228479225,0.747380887,0.061467827,0.12366999,0.228003791,0.42614529,0.426201681,0.438286153,0.423486913,0.400485499,0.376201461,0.020853141,-0.059305316,-0.165498816,-0.233377702,-0.562583755,-0.436857304,-0.195591573,-0.247942082,-0.565066384,-0.433258074,-0.228469729,-0.540506814,-0.385651748,-0.436922834,-0.240081702,0.485712311,0.970880085,1,0.964965816,0.27103541,0.586564629,0.205054002,0.216568445,0.311057925,0.66450463,-0.271084595,-0.41835914,-0.558208827,-0.587258067,-0.567718349,-0.548243298,-0.528101234,-0.552927045,-0.521815318,-0.589362565,-0.564182912,-0.599399136,-0.57865571,-0.560200126,-0.600385239,-0.579295717,-0.463860382,-0.591182398,-0.567050907,-0.544599308,-0.59120812,0.278125492,-0.420947703,-0.183795227,0.176636624,0.4950854,-0.310764256,-0.274748508,-0.195417613,0.046439805,0.181693808,0.488624089,0.53339691,0.572721259,0.492985437,0.42427441
"(7, 10)",-0.011002981,-0.003808322,0.036163374,0.107955925,0.46243191,0.375537657,0.628427863,-0.044799199,-0.019221819,0.048706052,0.236329392,0.262513222,0.250929308,0.234892184,0.209786684,0.185126342,0.022884692,-0.120436298,-0.243776305,-0.311644045,-0.490132573,-0.363772617,-0.275512355,-0.325249068,-0.487032962,-0.354368118,-0.290571207,-0.443810812,-0.288204623,-0.315508208,-0.128404403,0.458432492,0.887115598,0.964965816,1,0.463628198,0.649620973,0.400426268,0.412745014,0.502970514,0.807641499,-0.061698072,-0.179911376,-0.354470169,-0.432058678,-0.368098081,-0.346067395,-0.320737153,-0.335363831,-0.279728692,-0.399106843,-0.459187795,-0.412744319,-0.388160259,-0.363807364,-0.401264794,-0.412421683,-0.431136107,-0.42721114,-0.397965515,-0.370242335,-0.430507355,0.110140403,-0.347746569,-0.102270826,0.188959164,0.342853054,-0.150116927,-0.115236117,-0.044086275,0.149453618,0.251004469,0.456426084,0.382571019,0.477959072,0.332512272,0.258533
